Date,Meal,Foods,Food code
1/1/2023,Breakfast,"Oatmeal, multigrain",56203610
1/1/2023,Lunch,"Pasta, cooked",56130000
1/1/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/2/2023,Breakfast,"Oatmeal, multigrain",56203610
1/2/2023,Lunch,"Pasta, cooked",56130000
1/2/2023,Lunch,"Carrots, raw",73101010
1/2/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/2/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/3/2023,Breakfast,"Oatmeal, multigrain",56203610
1/3/2023,Lunch,"Pasta, cooked",56130000
1/3/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/4/2023,Breakfast,"Oatmeal, multigrain",56203610
1/4/2023,Breakfast,"Raspberries, raw",63219000
1/4/2023,Lunch,"Pasta, cooked",56130000
1/4/2023,Lunch,"Celery, raw",75109000
1/4/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/4/2023,Dinner,"Pasta, cooked",56130000
1/5/2023,Breakfast,"Oatmeal, multigrain",56203610
1/5/2023,Lunch,"Pasta, cooked",56130000
1/5/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/5/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/5/2023,Snack,"Pretzel chips, hard, plain",54408105
1/6/2023,Breakfast,"Oatmeal, multigrain",56203610
1/6/2023,Breakfast,"Blackberries, raw",63201010
1/6/2023,Lunch,"Pasta, cooked",56130000
1/6/2023,Lunch,"Cucumber, raw",75111000
1/6/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/6/2023,Snack,"Crackers, cheese",54304000
1/7/2023,Breakfast,"Oatmeal, multigrain",56203610
1/7/2023,Lunch,"Pasta, cooked",56130000
1/7/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/7/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/8/2023,Breakfast,"Oatmeal, multigrain",56203610
1/8/2023,Lunch,"Pasta, cooked",56130000
1/8/2023,Lunch,"Carrots, raw",73101010
1/8/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/8/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/9/2023,Breakfast,"Oatmeal, multigrain",56203610
1/9/2023,Lunch,"Pasta, cooked",56130000
1/9/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/9/2023,Dinner,"Pasta, cooked",56130000
1/10/2023,Breakfast,"Oatmeal, multigrain",56203610
1/10/2023,Breakfast,"Blueberries, raw",63203010
1/10/2023,Lunch,"Pasta, cooked",56130000
1/10/2023,Lunch,"Celery, raw",75109000
1/10/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/11/2023,Breakfast,"Oatmeal, multigrain",56203610
1/11/2023,Lunch,"Pasta, cooked",56130000
1/11/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/11/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/11/2023,Snack,"Pretzel chips, hard, plain",54408105
1/12/2023,Breakfast,"Oatmeal, multigrain",56203610
1/12/2023,Lunch,"Pasta, cooked",56130000
1/12/2023,Lunch,"Cucumber, raw",75111000
1/12/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/12/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/12/2023,Snack,"Crackers, cheese",54304000
1/13/2023,Breakfast,"Oatmeal, multigrain",56203610
1/13/2023,Lunch,"Pasta, cooked",56130000
1/13/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/14/2023,Breakfast,"Oatmeal, multigrain",56203610
1/14/2023,Breakfast,"Raspberries, raw",63219000
1/14/2023,Lunch,"Pasta, cooked",56130000
1/14/2023,Lunch,"Carrots, raw",73101010
1/14/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/14/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/14/2023,Snack,"Candy, fruit snacks",91746300
1/15/2023,Breakfast,"Oatmeal, multigrain",56203610
1/15/2023,Lunch,"Pasta, cooked",56130000
1/15/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/15/2023,Dinner,"Pasta, cooked",56130000
1/15/2023,Snack,"Snack bar, oatmeal",53712000
1/16/2023,Breakfast,"Oatmeal, multigrain",56203610
1/16/2023,Breakfast,"Blackberries, raw",63201010
1/16/2023,Lunch,"Pasta, cooked",56130000
1/16/2023,Lunch,"Celery, raw",75109000
1/16/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/16/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/17/2023,Breakfast,"Oatmeal, multigrain",56203610
1/17/2023,Lunch,"Pasta, cooked",56130000
1/17/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/17/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/17/2023,Snack,"Pretzel chips, hard, plain",54408105
1/18/2023,Breakfast,"Oatmeal, multigrain",56203610
1/18/2023,Lunch,"Pasta, cooked",56130000
1/18/2023,Lunch,"Cucumber, raw",75111000
1/18/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/18/2023,Dinner,"Peas and carrots, frozen, cooked, fat added",73111222
1/18/2023,Snack,"Crackers, cheese",54304000
1/19/2023,Breakfast,"Oatmeal, multigrain",56203610
1/19/2023,Lunch,"Pasta, cooked",56130000
1/19/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/19/2023,Dinner,"Broccoli, cauliflower and carrots, cooked, fat added",75330090
1/20/2023,Breakfast,"Oatmeal, multigrain",56203610
1/20/2023,Breakfast,"Blueberries, raw",63203010
1/20/2023,Lunch,"Pasta, cooked",56130000
1/20/2023,Lunch,"Carrots, raw",73101010
1/20/2023,Dinner,"Chicken nuggets, from frozen",24198736
1/20/2023,Dinner,"Pasta, cooked",56130000
1/20/2023,Dinner,"Corn, frozen, cooked with butter or margarine",75216138
1/20/2023,Snack,"Candy, fruit snacks",91746300
1/21/2023,Breakfast,"Oatmeal, multigrain",56203610
1/21/2023,Breakfast,"Blackberries, raw",63201010
1/21/2023,Lunch,"Pasta, cooked",56130000
